7200,0,2d0,0,D,UNK-NOW,Unknown,Unknown,Unknown,2
720287,287,2d0,11f,D,CMC LZ 1,CMC Landing Zone Coordination 1,Emergency Ops,Systemwide,2
720289,289,2d0,121,D,CMC LZ 2,CMC Landing Zone Coordination 2,Emergency Ops,Systemwide,2
720299,299,2d0,12b,D,UNC-EVNT-1,UNC Charlotte Event 1,Multi-Talk,UNC Charlotte,2
720301,301,2d0,12d,D,UNC-EVNT-2,UNC Charlotte Event 2,Multi-Talk,UNC Charlotte,2
720303,303,2d0,12f,D,UNC-EVNT-3,UNC Charlotte Event 3,Multi-Talk,UNC Charlotte,2
720305,305,2d0,131,D,UNCPD-COMMON,UNC Charlotte Police Common,Law Talk,UNC Charlotte,2
720307,307,2d0,133,D,UNCPD-PTRL-1,UNC Charlotte Police Patrol 1,Law Dispatch,UNC Charlotte,2
720309,309,2d0,135,D,UNCPD-PTRL-2,UNC Charlotte Police Patrol 2,Law Talk,UNC Charlotte,2
720311,311,2d0,137,D,UNCPD-CONFR,UNC Charlotte Police Conference,Law Talk,UNC Charlotte,2
720313,313,2d0,139,D,UNCPD-SERVC,UNC Charlotte Police Service,Law Talk,UNC Charlotte,2
720315,315,2d0,13b,D,UNCPD-TRNING,UNC Charlotte Police Training,Law Talk,UNC Charlotte,2
720317,317,2d0,13d,D,UNC-LIBRARY,UNC Charlotte Library,Security,UNC Charlotte,2
720319,319,2d0,13f,D,UNC-LBRY-ADM,UNC Charlotte Library Administration,Security,UNC Charlotte,2
720321,321,2d0,141,D,UNC-LBRY-SEC,UNC Charlotte Library Security,Security,UNC Charlotte,2
720323,323,2d0,143,D,UNC-LBRY-CNF,UNC Charlotte Library Conference,Security,UNC Charlotte,2
720337,337,2d0,151,D,CMGC-SEC,Charlotte-Mecklenburg Government Center Security,Security,Charlotte-Mecklenburg Services,2
720357,357,2d0,165,D,CMS-LAW-3,CMS Police 3,Law Dispatch,Charlotte-Mecklenburg Schools,2
720403,403,2d0,193,D,EMS-DISP,Mecklenburg EMS Dispatch,EMS Dispatch,Mecklenburg EMS/Fire,2
720405,405,2d0,195,D,MEC OPS 14,Mecklenburg Operations 14,Multi-Tac,Mecklenburg EMS/Fire,2
720407,407,2d0,197,D,MEC OPS 15,Mecklenburg Operations 15,Multi-Tac,Mecklenburg EMS/Fire,2
720409,409,2d0,199,D,MEC OPS 16,Mecklenburg Operations 16,Multi-Tac,Mecklenburg EMS/Fire,2
720411,411,2d0,19b,D,MEC OPS 17,Mecklenburg Operations 17,Multi-Tac,Mecklenburg EMS/Fire,2
720413,413,2d0,19d,D,MEC OPS 6,Mecklenburg Operations 6,Multi-Tac,Mecklenburg EMS/Fire,2
720415,415,2d0,19f,E,EMS ADMIN,Mecklenburg EMS Administration,EMS-Talk,Mecklenburg EMS/Fire,2
720417,417,2d0,1a1,D,MEC OPS 18,Mecklenburg Operations 18,Multi-Tac,Mecklenburg EMS/Fire,2
720421,421,2d0,1a5,D,PRESB PEDI,EMS to Presbyterian Pediatric,Hospital,Regional EMS to Hospital,2
720423,423,2d0,1a7,D,MEC OPS 19,Mecklenburg Operations 19,Multi-Tac,Mecklenburg EMS/Fire,2
720425,425,2d0,1a9,D,MEC OPS 20,Mecklenburg Operations 20,Multi-Tac,Mecklenburg EMS/Fire,2
720427,427,2d0,1ab,D,MEC OPS 21,Mecklenburg Operations 21,Multi-Tac,Mecklenburg EMS/Fire,2
720429,429,2d0,1ad,D,MEC OPS 22,Mecklenburg Operations 22,Multi-Tac,Mecklenburg EMS/Fire,2
720453,453,2d0,1c5,D,MEC DISP,Mecklenburg Fire Dispatch,Multi-Dispatch,Mecklenburg EMS/Fire,2
720455,455,2d0,1c7,D,MEC OPS 12,Mecklenburg Operations 12,Multi-Tac,Mecklenburg EMS/Fire,2
720457,457,2d0,1c9,D,MEC OPS 3,Mecklenburg Operations 3,Multi-Tac,Mecklenburg EMS/Fire,2
720459,459,2d0,1cb,D,MEC OPS 4,Mecklenburg Operations 4,Multi-Tac,Mecklenburg EMS/Fire,2
720461,461,2d0,1cd,D,MEC OPS 5,Mecklenburg Operations 5,Multi-Tac,Mecklenburg EMS/Fire,2
720463,463,2d0,1cf,D,MEC OPS 13,Mecklenburg Operations 13,Multi-Tac,Mecklenburg EMS/Fire,2
720467,467,2d0,1d3,D,MEC CONF,Mecklenburg Conference,Fire-Talk,Mecklenburg EMS/Fire,2
720489,489,2d0,1000000000,D,MECK-TRASH,Trash/Recycling Collection,Utilities,Charlotte-Mecklenburg Services,2
720527,527,2d0,20f,D,STLE-CONF,CMPD Steele Creek Conference,Law Talk,Charlotte-Mecklenburg Police Steele Creek Division,2
720529,529,2d0,211,D,STEELE-CK,CMPD Steele Creek Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Steele Creek Division,2
720531,531,2d0,213,D,WESTOVER,CMPD Westover Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Westover Division,2
720533,533,2d0,215,D,FREEDOM,CMPD Freedom Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Freedom Division,2
720535,535,2d0,217,D,WOVR-CONF,CMPD Westover Conference,Law Talk,Charlotte-Mecklenburg Police Westover Division,2
720537,537,2d0,219,D,AIR ASO,Air ASO - Helicopter Calling,Multi-Tac,Systemwide,2
720539,539,2d0,21b,D,FRDM-CONF,CMPD Freedom Conference,Law Talk,Charlotte-Mecklenburg Police Freedom Division,2
720541,541,2d0,21d,D,PROV-CONF,CMPD Providence Conference,Law Talk,Charlotte-Mecklenburg Police Providence Division,2
720543,543,2d0,21f,D,PROV,CMPD Providence Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Providence Division,2
720545,545,2d0,221,D,SOUTH,CMPD South Dispatch,Law Dispatch,Charlotte-Mecklenburg Police South Division,2
720547,547,2d0,223,D,INDEP,CMPD Independence Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Independence Division,2
720549,549,2d0,225,D,STH-CONF,CMPD South Conference,Law Talk,Charlotte-Mecklenburg Police South Division,2
720551,551,2d0,227,D,INDP-CONF,CMPD Independence Conference,Law Talk,Charlotte-Mecklenburg Police Independence Division,2
720553,553,2d0,229,E,PROV-TACT,CMPD Providence Tactical,Law Tac,Charlotte-Mecklenburg Police Providence Division,2
720555,555,2d0,22b,D,NTH-CONF,CMPD North Conference,Law Talk,Charlotte-Mecklenburg Police North Division,2
720557,557,2d0,22d,D,NORTH,CMPD North Dispatch,Law Dispatch,Charlotte-Mecklenburg Police North Division,2
720559,559,2d0,22f,D,EASTWAY,CMPD Eastway Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Eastway Division,2
720561,561,2d0,231,D,HK-GROVE,CMPD Hickory Grove Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Hickory Grove Division,2
720563,563,2d0,233,D,EWAY-CONF,CMPD Eastway Conference,Law Talk,Charlotte-Mecklenburg Police Eastway Division,2
720565,565,2d0,235,D,HKGR-CONF,CMPD Hickory Grove Conference,Law Talk,Charlotte-Mecklenburg Police Hickory Grove Division,2
720567,567,2d0,237,E,NTH-TACT,CMPD North Tactical,Law Tac,Charlotte-Mecklenburg Police North Division,2
720583,583,2d0,247,E,SWAT-1,CMPD SWAT 1,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720585,585,2d0,249,E,SWAT-2,CMPD SWAT 2,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720587,587,2d0,24b,E,SWAT-3,CMPD SWAT 3,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720589,589,2d0,24d,E,CEU-1,Civil Emergency Unit 1?,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720591,591,2d0,24f,E,CEU-2,Civil Emergency Unit 2?,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720593,593,2d0,252,E,CEU-3,Civil Emergency Unit 3?,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720657,657,2d0,291,D,CENT-CONF,CMPD Central Conference,Law Talk,Charlotte-Mecklenburg Police Central Division,2
720659,659,2d0,293,D,CENTRAL,CMPD Central Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Central Division,2
720661,661,2d0,295,D,METRO,CMPD Metro Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Metro Division,2
720663,663,2d0,297,D,N-TRYON,CMPD North Tryon Dispatch,Law Dispatch,Charlotte-Mecklenburg Police North Tryon Division,2
720665,665,2d0,299,D,MET-CONF,CMPD Metro Conference,Law Talk,Charlotte-Mecklenburg Police Metro Division,2
720667,667,2d0,29b,D,NTRY-CONF,CMPD North Tryon Conference,Law Talk,Charlotte-Mecklenburg Police North Tryon Division,2
720669,669,2d0,29d,D,CENT-SCU,CMPD Central Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Central Division,2
720675,675,2d0,2a3,E,VCAT-1,CMPD VCAT 1,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720677,677,2d0,2a5,E,VCAT-2,CMPD VCAT 2,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720681,681,2d0,2a9,E,VCAT-3,CMPD VCAT 3,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
720685,685,2d0,2ad,D,UNIV-CONF,CMPD University Conference,Law Talk,Charlotte-Mecklenburg Police University Division,2
720687,687,2d0,2af,D,UNIV,CMPD University City Dispatch,Law Dispatch,Charlotte-Mecklenburg Police University Division,2
720693,693,2d0,2b5,E,UNIV-TACT,CMPD University Tactical,Law Tac,Charlotte-Mecklenburg Police University Division,2
720697,697,2d0,2b9,D,UNIV-SCU,CMPD University SCU,Law Tac,Charlotte-Mecklenburg Police University Division,2
720731,731,2d0,2db,D,CATS-MAIN,CATS Transportation,Transportation,Charlotte Area Transit System (CATS),2
720735,735,2d0,2df,D,RAIL-OPS-1,Rail Ops 1,Railroad,Charlotte Area Transit System (CATS),2
720737,737,2d0,20,D,RAIL-OPS-2,Rail Ops 2,Railroad,Charlotte Area Transit System (CATS),2
720739,739,2d0,2000,D,RAIL-OPS-3,Rail Ops 3,Railroad,Charlotte Area Transit System (CATS),2
720741,741,2d0,200000,D,RAIL-OPS-4,Rail Ops 4,Railroad,Charlotte Area Transit System (CATS),2
720759,759,2d0,2f7,D,MEC OPS 7,Mecklenburg Operations 7 ,Multi-Tac,Mecklenburg EMS/Fire,2
720761,761,2d0,2f9,D,MEC OPS 8,Mecklenburg Operations 8,Multi-Tac,Mecklenburg EMS/Fire,2
720763,763,2d0,2fb,D,MEC OPS 9,Mecklenburg Operations 9,Multi-Tac,Mecklenburg EMS/Fire,2
720765,765,2d0,2fd,D,MEC OPS 10,Mecklenburg Operations 10,Multi-Tac,Mecklenburg EMS/Fire,2
720767,767,2d0,2ff,D,MEC OPS 11,Mecklenburg Operations 11,Multi-Tac,Mecklenburg EMS/Fire,2
720769,769,2d0,301,E,EMS-NET1,Mecklenburg EMS Non-Emergency Transport,EMS Dispatch,Mecklenburg EMS/Fire,2
720771,771,2d0,303,E,EMS-CONF,Mecklenburg EMS Conference,EMS-Talk,Mecklenburg EMS/Fire,2
720773,773,2d0,305,D,EMS-LOGIS,Mecklenburg EMS Logistics,EMS-Talk,Mecklenburg EMS/Fire,2
720787,787,2d0,313,D,CMC STLCK,EMS to CMC Steele Creek,Hospital,Regional EMS to Hospital,2
720789,789,2d0,315,D,CMC HUNT,EMS to CMC Huntersville,Hospital,Regional EMS to Hospital,2
720791,791,2d0,317,D,CMC MAIN,EMS to CMC Main,Hospital,Regional EMS to Hospital,2
720793,793,2d0,319,D,PRES MAIN,EMS to Presbyterian Main,Hospital,Regional EMS to Hospital,2
720795,795,2d0,31b,D,CMC UNIV,EMS to CMC University,Hospital,Regional EMS to Hospital,2
720797,797,2d0,31d,D,CMC PINE,EMS to CMC Pineville,Hospital,Regional EMS to Hospital,2
720799,799,2d0,31f,D,CMC MERCY,EMS to CMC Mercy,Hospital,Regional EMS to Hospital,2
720801,801,2d0,321,D,PRESB MATT,EMS to Presbyterian Matthews,Hospital,Regional EMS to Hospital,2
720803,803,2d0,323,D,PRESB HUNT,EMS to Presbyterian Huntersville,Hospital,Regional EMS to Hospital,2
720805,805,2d0,325,D,LNRMC,EMS to Lake Norman Regional Medical Center,Hospital,Regional EMS to Hospital,2
720811,811,2d0,32b,D,UNION MEM,EMS to Union Memorial,Hospital,Regional EMS to Hospital,2
720815,815,2d0,32f,E,CENT-TACT,CMPD Central Tactical,Law Tac,Charlotte-Mecklenburg Police Central Division,2
720817,817,2d0,331,E,NTRY-TACT,CMPD North Tryon Tactical,Law Tac,Charlotte-Mecklenburg Police North Tryon Division,2
720819,819,2d0,333,E,MET-TACT,CMPD Metro Tactical,Law Tac,Charlotte-Mecklenburg Police Metro Division,2
720821,821,2d0,335,D,MET-SCU,CMPD Metro Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Metro Division,2
720823,823,2d0,337,E,EWAY-TACT,CMPD Eastway Tactical,Law Tac,Charlotte-Mecklenburg Police Eastway Division,2
720825,825,2d0,339,D,EWAY-SCU,CMPD Eastway Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Eastway Division,2
720827,827,2d0,33b,D,NTRY-SCU,CMPD North Tryon Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police North Tryon Division,2
720829,829,2d0,33d,D,NTH-SCU,CMPD North Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police North Division,2
720831,831,2d0,33f,E,HKGR-TACT,CMPD Hickory Grove Tactical,Law Tac,Charlotte-Mecklenburg Police Hickory Grove Division,2
720833,833,2d0,341,D,HKGR-SCU,CMPD Hickory Grove Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Hickory Grove Division,2
720835,835,2d0,343,D,PROV-SCU,CMPD Providence Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Providence Division,2
720837,837,2d0,345,E,INDP-TACT,CMPD Independence Tactical,Law Tac,Charlotte-Mecklenburg Police Independence Division,2
720839,839,2d0,347,D,INDP-SCU,CMPD Independence Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Independence Division,2
720841,841,2d0,349,E,STLE-TACT,CMPD Steele Creek Tactical,Law Tac,Charlotte-Mecklenburg Police Steele Creek Division,2
720843,843,2d0,34b,D,STLE-SCU,CMPD Steele Creek Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Steele Creek Division,2
720845,845,2d0,34d,E,STH-TACT,CMPD South Tactical,Law Tac,Charlotte-Mecklenburg Police South Division,2
720847,847,2d0,34f,D,STH-SCU,CMPD South Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police South Division,2
720849,849,2d0,351,E,WOVR-TACT,CMPD Westover Tactical,Law Tac,Charlotte-Mecklenburg Police Westover Division,2
720851,851,2d0,353,D,WOVR-SCU,CMPD Westover Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Westover Division,2
720853,853,2d0,355,E,FRDM-TACT,CMPD Freedom Tactical,Law Tac,Charlotte-Mecklenburg Police Freedom Division,2
720855,855,2d0,357,D,FRDM-SCU,CMPD Freedom Street Crimes Unit,Law Tac,Charlotte-Mecklenburg Police Freedom Division,2
720983,983,2d0,3d7,D,CFD 1I,Charlotte Fire Ops 1I,Fire-Tac,Charlotte Fire,2
720985,985,2d0,3d9,D,CFD 1J,Charlotte Fire Ops 1J,Fire-Tac,Charlotte Fire,2
720987,987,2d0,3db,E,CFD 1K,Charlotte Fire Ops 1K,Fire-Tac,Charlotte Fire,2
720991,991,2d0,3df,E,CFD 1CONF,Charlotte Fire Conference 1,Fire-Talk,Charlotte Fire,2
720999,999,2d0,30000000,D,COURTS,Mecklenburg Sheriff Courts 1,Law Tac,Mecklenburg Sheriff Courts,2
2745516,16,6b3f,1,A,STAD SECURIT,Ch. A-2 Stadium Security,Security,Public Safety,2
2745548,48,6b3f,3,A,CLT/OBS,Ch. B-14 Parking?,Business,General,2
2745580,80,6b3f,5,A,COMMUNICATIO,Ch. A-5 Communications,Business,General,2
3864464,464,f18,01d,A,APC-WAR1,Mecklenburg Sheriff Arrest Processing Center Warrant 1,Corrections,Mecklenburg Sheriff,2
3864496,496,f18,01f,A,ARREST,Mecklenburg Sheriff Jail Calling,Corrections,Mecklenburg Sheriff,2
3864528,528,f18,21,A,MCJA-3,Mecklenburg Sheriff Jail Annex 3,Corrections,Mecklenburg Sheriff,2
3864560,560,f18,23,A,APC-WAR2,Mecklenburg Sheriff Arrest Processing Center Warrant 2,Corrections,Mecklenburg Sheriff,2
3864592,592,f18,25,A,MCJHR-2,Mecklenburg Sheriff Jail HR 2,Corrections,Mecklenburg Sheriff,2
3864624,624,f18,27,A,MCJHR-3,Mecklenburg Sheriff Jail HR 3,Corrections,Mecklenburg Sheriff,2
3864656,656,f18,29,A,MEC EVT1 EOC,Mecklenburg Event 1 - EOC,Interop,Mecklenburg Common/Mutual Aid,2
3864688,688,f18,02b,A,MEC EVT2 FIR,Mecklenburg Event 2 - Fire,Interop,Mecklenburg Common/Mutual Aid,2
3864720,720,f18,02d,A,MEC EVT3 EMS,Mecklenburg Event 3 - EMS,Interop,Mecklenburg Common/Mutual Aid,2
3864752,752,f18,02f,A,MEC EVT4 POL,Mecklenburg Event 4 - Police,Interop,Mecklenburg Common/Mutual Aid,2
3864784,784,f18,31,A,MEC EVT5 PW1,Mecklenburg Event 5 - Public Works 1,Interop,Mecklenburg Common/Mutual Aid,2
3864816,816,f18,33,A,MEC EVT6 PW2,Mecklenburg Event 6 - Public Works 2,Interop,Mecklenburg Common/Mutual Aid,2
3864848,848,f18,35,A,MEC EVT7 CFD,Mecklenburg Event 7 - Charlotte Fire,Interop,Mecklenburg Common/Mutual Aid,2
3864880,880,f18,37,A,MEC EVT8 VFD,Mecklenburg Event 8 - Volunteer Fire,Interop,Mecklenburg Common/Mutual Aid,2
3864912,912,f18,39,A,MEC EVT9 NM,Mecklenburg Event 9 - North Mecklenburg 1,Interop,Mecklenburg Common/Mutual Aid,2
3864944,944,f18,03b,A,MEC EVT10 NM,Mecklenburg Event 10 - North Mecklenburg 2,Interop,Mecklenburg Common/Mutual Aid,2
3864976,976,f18,03d,A,MEC EVT11 ST,Mecklenburg Event 11 - South Towns 1,Interop,Mecklenburg Common/Mutual Aid,2
4964150,4150,1f0,1036,D,ALAMANCE HLP,Help,Emergency Ops,Alamance County,2
4964151,4151,1f0,1037,D,ALAMANCE COM,Common,Interop,Alamance County,2
4964152,4152,1f0,1038,D,ACOEMSADMIN,EMS Administration,EMS-Talk,Alamance County,2
4964153,4153,1f0,1039,D,ALAMANCE EVT,Events,Multi-Tac,Alamance County,2
4964154,4154,1f0,103a,D,ELN/GIBPDADM,Elon/Gibsonville Police Administration,Law Talk,Alamance County,2
4964155,4155,1f0,103b,D,ALA RSQ DISP,Alamance County Rescue,EMS Dispatch,Alamance County,2
4964156,4156,1f0,103c,D,ACOFIRETAC10,Fire - TAC 10,Fire-Tac,Alamance County,2
4964157,4157,1f0,103d,D,ACOFIRETAC2,Fire - TAC 2,Fire-Tac,Alamance County,2
4964158,4158,1f0,103e,D,ACOSOAC3,Sheriff TAC 3,Law Tac,Alamance County,2
4964159,4159,1f0,103f,D,ACOFIRETAC4,Fire - TAC 4,Fire-Tac,Alamance County,2
4964160,4160,1f0,1040,D,ACOFIRETAC5,Fire - TAC 5,Fire-Tac,Alamance County,2
4964161,4161,1f0,1041,D,ACOFIRETAC6,Fire - TAC 6,Fire-Tac,Alamance County,2
4964162,4162,1f0,1042,D,GrahamPD Tac,Graham Police Tactical,Fire-Tac,Alamance County,2
4964163,4163,1f0,1043,D,ACOFIRETAC8,Fire - TAC 8,Fire-Tac,Alamance County,2
4964164,4164,1f0,1044,D,ACOFIRETAC9,Fire - TAC 9,Fire-Tac,Alamance County,2
4964165,4165,1f0,1045,D,ALAMANCE EM,Emergency Management,Emergency Ops,Alamance County,2
4964166,4166,1f0,1046,D,ALAMANCEEMS,EMS - Dispatch,EMS Dispatch,Alamance County,2
4964167,4167,1f0,1047,D,ALAMANCEFD,Fire - Dispatch,Fire Dispatch,Alamance County,2
4964168,4168,1f0,1048,D,ALAMANCE MA,Mutual Aid,Interop,Alamance County,2
4964169,4169,1f0,1049,D,ALAMANCESO,Sheriff's Office - Dispatch,Law Dispatch,Alamance County,2
4964170,4170,1f0,104a,D,GRAHAM FD T1,Graham Fire - Tac 1,Fire-Tac,Alamance County,2
4964172,4172,1f0,104c,D,ACOSOCID,Sheriffs Office Investigations,Law Tac,Alamance County,2
4964173,4173,1f0,104d,D,ALAMANCESO2,Sheriff's Office - Dispatch 2,Law Dispatch,Alamance County,2
4964174,4174,1f0,104e,D,ACSO NARC,Sheriffs Office Narcotics,Law Tac,Alamance County,2
4964187,4187,1f0,105b,D,ELON PD,Elon/Gibsonville Police Department - Dispatch,Law Dispatch,Alamance County,2
4964197,4197,1f0,1065,D,ELONSECURITY,Elon University Security Dispatch,Security,Alamance County,2
4964198,4198,1f0,1066,D,AlaCoSO Gang,Sheriffs Office Gang Task Force,Law Dispatch,Alamance County,2
4964208,4208,1f0,1070,D,ACOFIRETAC3,Fire Tac 3,Fire-Tac,Alamance County,2
4964218,4218,1f0,107a,D,GRAHAM FD,Graham Fire Department - Dispatch,Fire Dispatch,Alamance County,2
4964221,4221,1f0,107d,D,GRAHAM PD,Graham Police - Dispatch,Law Dispatch,Alamance County,2
4964231,4231,1f0,1087,D,HAW RIVER PD,Haw River Police,Law Dispatch,Alamance County,2
4964244,4244,1f0,1094,D,MEBANEPD2,Mebane PD Channel 2 Admin,Law Tac,Alamance County,2
4964245,4245,1f0,1095,D,MEBANE PD,Mebane Police,Law Dispatch,Alamance County,2
4964246,4246,1f0,1096,D,MEBANE FD,Mebane Fire Department Dispatch,Fire Dispatch,Alamance County,2
4964300,4300,1f0,10cc,D,ALEX SO,Alexander SO,Law Dispatch,Alexander County,2
4964301,4301,1f0,10cd,D,ALEX SO OPS1,Alexander SO OPS 1,Law Tac,Alexander County,2
4964302,4302,1f0,10ce,D,ALEX CID1,Alexander CID 1,Law Tac,Alexander County,2
4964303,4303,1f0,10cf,D,ALEX MAID,Alexander M AID,Interop,Alexander County,2
4964304,4304,1f0,10d0,D,ALEX FD,Alexander Fire,Fire Dispatch,Alexander County,2
4964305,4305,1f0,10d1,D,ALEX EMS,Alexander EMS,EMS Dispatch,Alexander County,2
4964306,4306,1f0,10d2,D,ALEX EM,Alexander EM,Multi-Tac,Alexander County,2
4964307,4307,1f0,10d3,D,ALEX EM OPS1,Alexander EM OPS1,Multi-Tac,Alexander County,2
4964308,4308,1f0,10d4,D,ALEX OPS1,Alexander OPS 1,Multi-Tac,Alexander County,2
4964309,4309,1f0,10d5,D,ALEX OPS2,Alexander OPS 2,Multi-Tac,Alexander County,2
4964310,4310,1f0,10d6,D,ALEX OPS3,Alexander OPS 3,Multi-Tac,Alexander County,2
4964311,4311,1f0,10d7,D,ALEX TAC,Alexander TAC,Multi-Tac,Alexander County,2
